"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1737","Unauthenticated request to Admin API returns 401 @rbac @regression @security","webkit","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","70241","authenticate as admin","setup","2026-05-27","broken","2026-05-27","","auth.setup.ts","",""
"","1","ESS user cannot access Admin features @rbac @regression","chromium","2026-05-27","skipped","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","27531","Employee created via API appears in UI list @employee @integration @regression","webkit","2026-05-27","passed","2026-05-27","API-to-UI Integration","e2e/employee/employee-lifecycle.spec.ts","",""
"","22792","ESS user cannot access Admin features @rbac @regression","webkit","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","15885","should login successfully with valid admin credentials @smoke","firefox","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","0","should show error with invalid password @smoke","webkit","2026-05-27","skipped","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","1859","Unauthenticated request to Admin API returns 401 @rbac @regression @security","firefox","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","639","API returns 401 when session cookie is absent @api @security","api","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","7408","DELETE /pim/employees — delete employee removes from system @api @smoke","smoke","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","17933","1. Create employee with login credentials @employee @smoke","smoke","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","6837","Create and immediately verify employee via API @employee @api @regression","firefox","2026-05-27","passed","2026-05-27","API Employee Operations","e2e/employee/employee-lifecycle.spec.ts","",""
"","22740","should logout successfully @regression","firefox","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","4442","should show validation for empty password @regression","chromium","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","5154","should show validation for empty username @regression","chromium","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","39790","3. Update employee personal details @employee @regression","firefox","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","8184","PUT /pim/employees/:id — update employee personal details @api @regression","firefox","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","10785","Create and immediately verify employee via API @employee @api @regression","webkit","2026-05-27","passed","2026-05-27","API Employee Operations","e2e/employee/employee-lifecycle.spec.ts","",""
"","8705","2. Verify employee appears in employee list @employee @smoke","smoke","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","5045","should redirect to login when accessing protected page unauthenticated @smoke","smoke","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","0","Employee created via API appears in UI list @employee @integration @regression","chromium","2026-05-27","skipped","2026-05-27","API-to-UI Integration","e2e/employee/employee-lifecycle.spec.ts","",""
"","13957","PUT /pim/employees/:id — update employee personal details @api @regression","webkit","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","13804","4. Verify updates persisted correctly @employee @regression","webkit","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","2998","DELETE /pim/employees — delete employee removes from system @api @smoke","chromium","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","11153","should show error with invalid password @smoke","smoke","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","0","Admin user has access to User Management @rbac @regression","chromium","2026-05-27","skipped","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","17783","Employee created via API appears in UI list @employee @integration @regression","firefox","2026-05-27","passed","2026-05-27","API-to-UI Integration","e2e/employee/employee-lifecycle.spec.ts","",""
"","1883","GET /pim/employees/:id — retrieve created employee @api @smoke","api","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
